ticker,company_name,segment,sub_segment
A,"Agilent Technologies, Inc.",medical_diagnostics_and_research,
BLLN,"BillionToOne, Inc.",medical_diagnostics_and_research,
CDNA,"CareDx, Inc",medical_diagnostics_and_research,
CRL,"Charles River Laboratories International, Inc.",medical_diagnostics_and_research,
CSTL,"Castle Biosciences, Inc.",medical_diagnostics_and_research,
DGX,Quest Diagnostics Incorporated,medical_diagnostics_and_research,
DHR,Danaher Corporation,medical_diagnostics_and_research,
EXAS,Exact Sciences Corporation,medical_diagnostics_and_research,
GH,"Guardant Health, Inc.",medical_diagnostics_and_research,
GRAL,"GRAIL, Inc.",medical_diagnostics_and_research,
ICLR,ICON Public Limited Company,medical_diagnostics_and_research,
IDXX,"IDEXX Laboratories, Inc.",medical_diagnostics_and_research,
ILMN,"Illumina, Inc.",medical_diagnostics_and_research,
IQV,IQVIA Holdings Inc.,medical_diagnostics_and_research,
LH,Labcorp Holdings Inc.,medical_diagnostics_and_research,
MEDP,"Medpace Holdings, Inc.",medical_diagnostics_and_research,
MTD,Mettler-Toledo International Inc.,medical_diagnostics_and_research,
NEOG,Neogen Corporation,medical_diagnostics_and_research,
NTRA,"Natera, Inc.",medical_diagnostics_and_research,
OPK,"OPKO Health, Inc.",medical_diagnostics_and_research,
PSNL,"Personalis, Inc.",medical_diagnostics_and_research,
QGEN,Qiagen N.V.,medical_diagnostics_and_research,
RDNT,"RadNet, Inc.",medical_diagnostics_and_research,
RVTY,"Revvity, Inc.",medical_diagnostics_and_research,
SHC,Sotera Health Company,medical_diagnostics_and_research,
TMO,Thermo Fisher Scientific Inc.,medical_diagnostics_and_research,
TWST,Twist Bioscience Corporation,medical_diagnostics_and_research,
WAT,Waters Corporation,medical_diagnostics_and_research,
