ticker,company_name,segment,sub_segment
ACCD,"Accolade, Inc.",medical_healthcare_information_services,
AGTI,"Agiliti, Inc.",medical_healthcare_information_services,
BTSG,"BrightSpring Health Services, Inc. Common Stock",medical_healthcare_information_services,
CERT,"Certara, Inc.",medical_healthcare_information_services,
DOCS,"Doximity, Inc.",medical_healthcare_information_services,
GDRX,"GoodRx Holdings, Inc.",medical_healthcare_information_services,
GEHC,GE HealthCare Technologies Inc.,medical_healthcare_information_services,
GEHCV,GE HealthCare Technologies Inc.,medical_healthcare_information_services,
HNGE,"Hinge Health, Inc.",medical_healthcare_information_services,
HQY,"HealthEquity, Inc.",medical_healthcare_information_services,
HSTM,"HealthStream, Inc.",medical_healthcare_information_services,
HTFL,"Heartflow, Inc. Common Stock",medical_healthcare_information_services,
NUTX,"Nutex Health, Inc.",medical_healthcare_information_services,
NXGN,"NextGen Healthcare, Inc.",medical_healthcare_information_services,
OMCL,"Omnicell, Inc.",medical_healthcare_information_services,
OMDA,Omada Health,medical_healthcare_information_services,
ONEM,"1Life Healthcare, Inc.",medical_healthcare_information_services,
PGNY,"Progyny, Inc.",medical_healthcare_information_services,
PINC,"Premier, Inc.",medical_healthcare_information_services,
PRVA,"Privia Health Group, Inc.",medical_healthcare_information_services,
RCM,R1 RCM Inc.,medical_healthcare_information_services,
SDGR,"Schrödinger, Inc.",medical_healthcare_information_services,
SGFY,"Signify Health, Inc.",medical_healthcare_information_services,
SHCR,"Sharecare, Inc.",medical_healthcare_information_services,
TDOC,"Teladoc Health, Inc.",medical_healthcare_information_services,
TEM,"Tempus AI, Inc.",medical_healthcare_information_services,
TXG,"10x Genomics, Inc.",medical_healthcare_information_services,
VEEV,Veeva Systems Inc.,medical_healthcare_information_services,
WGS,GeneDx Holdings Corp.,medical_healthcare_information_services,
