ticker,company_name,segment,sub_segment
ATR,"AptarGroup, Inc.",medical_instruments_and_supplies,
ATRC,"AtriCure, Inc.",medical_instruments_and_supplies,
ATRI,Atrion Corporation,medical_instruments_and_supplies,
AVTR,"Avantor, Inc.",medical_instruments_and_supplies,
AZTA,"Azenta, Inc.",medical_instruments_and_supplies,
BAX,Baxter International Inc.,medical_instruments_and_supplies,
BDX,"Becton, Dickinson and Company",medical_instruments_and_supplies,
BDXB,"Becton, Dickinson and Company",medical_instruments_and_supplies,
BLFS,"BioLife Solutions, Inc.",medical_instruments_and_supplies,
COO,"The Cooper Companies, Inc.",medical_instruments_and_supplies,
HAE,Haemonetics Corporation,medical_instruments_and_supplies,
HOLX,"Hologic, Inc.",medical_instruments_and_supplies,
ICUI,"ICU Medical, Inc.",medical_instruments_and_supplies,
ISRG,"Intuitive Surgical, Inc.",medical_instruments_and_supplies,
KMTS,"Kestra Medical Technologies, Ltd.",medical_instruments_and_supplies,
LMAT,"LeMaitre Vascular, Inc.",medical_instruments_and_supplies,
MASI,Masimo Corporation,medical_instruments_and_supplies,
MDLN,Medline Inc.,medical_instruments_and_supplies,
MMSI,"Merit Medical Systems, Inc.",medical_instruments_and_supplies,
PLSE,"Pulse Biosciences, Inc.",medical_instruments_and_supplies,
QDEL,QuidelOrtho Corporation,medical_instruments_and_supplies,
RGEN,Repligen Corporation,medical_instruments_and_supplies,
RMD,ResMed Inc.,medical_instruments_and_supplies,
STAA,STAAR Surgical Company,medical_instruments_and_supplies,
TFX,Teleflex Incorporated,medical_instruments_and_supplies,
WRBY,Warby Parker Inc.,medical_instruments_and_supplies,
WST,"West Pharmaceutical Services, Inc.",medical_instruments_and_supplies,
XRAY,DENTSPLY SIRONA Inc.,medical_instruments_and_supplies,
