ticker,company_name,segment,sub_segment
NEM,Newmont Corporation,gold,major
GOLD,Barrick Gold Corporation,gold,major
FCX,Freeport-McMoRan Inc,copper,major
BHP,BHP Group Limited,diversified,major
RIO,Rio Tinto Group,diversified,major
VALE,Vale S.A.,diversified,major
SCCO,Southern Copper Corporation,copper,major
TECK,Teck Resources Limited,diversified,mid_cap
FNV,Franco-Nevada Corporation,royalty_streaming,gold
WPM,Wheaton Precious Metals Corp,royalty_streaming,diversified
AEM,Agnico Eagle Mines Limited,gold,major
KGC,Kinross Gold Corporation,gold,mid_cap
AGI,Alamos Gold Inc,gold,mid_cap
HL,Hecla Mining Company,silver,mid_cap
CDE,Coeur Mining Inc,silver,mid_cap
PAAS,Pan American Silver Corp,silver,major
AG,First Majestic Silver Corp,silver,mid_cap
EGO,Eldorado Gold Corporation,gold,mid_cap
BTG,B2Gold Corp,gold,mid_cap
HBM,Hudbay Minerals Inc,copper,mid_cap
RGLD,Royal Gold Inc,royalty_streaming,gold
OR,Osisko Gold Royalties Ltd,royalty_streaming,gold
ALB,Albemarle Corporation,lithium,major
SQM,Sociedad Quimica y Minera de Chile,lithium,major
LAC,Lithium Americas Corp,lithium,development
MP,MP Materials Corp,rare_earth,production
CENX,Century Aluminum Company,aluminum,mid_cap
AA,Alcoa Corporation,aluminum,major
STLD,Steel Dynamics Inc,steel,major
NUE,Nucor Corporation,steel,major
CLF,Cleveland-Cliffs Inc,steel,integrated
