ticker,company_name,segment,sub_segment
CCJ,Cameco Corporation,nuclear_and_uranium,
CEG,Constellation Energy Corporation,nuclear_and_uranium,
DNN,Denison Mines Corp.,nuclear_and_uranium,
EU,enCore Energy Corp.,nuclear_and_uranium,
LEU,Centrus Energy Corp,nuclear_and_uranium,
LTBR,Lightbridge Corporation,nuclear_and_uranium,
NUCL,Eagle Nuclear Energy Corp.,nuclear_and_uranium,
NXE,NexGen Energy Ltd.,nuclear_and_uranium,
OKLO,Oklo Inc,nuclear_and_uranium,
SMR,NuScale Power Corporation,nuclear_and_uranium,
UEC,Uranium Energy Corp.,nuclear_and_uranium,
URA,Global X Uranium ETF,nuclear_and_uranium,
URG,Ur-Energy Inc.,nuclear_and_uranium,
UUUU,Energy Fuels Inc,nuclear_and_uranium,
VST,Vistra Corp,nuclear_and_uranium,
