ticker,company_name,segment,sub_segment
ACDC,ProFrac Holding Corp.,oil_and_gas_equipment_and_services,
AESI,Atlas Energy Solutions Inc.,oil_and_gas_equipment_and_services,
AROC,"Archrock, Inc.",oil_and_gas_equipment_and_services,
BKR,Baker Hughes Company,oil_and_gas_equipment_and_services,
CAM,Cameron Intl Corp.,oil_and_gas_equipment_and_services,
CHX,ChampionX Corporation,oil_and_gas_equipment_and_services,
DNOW,Dnow Inc.,oil_and_gas_equipment_and_services,
DRQ,"Dril-Quip, Inc.",oil_and_gas_equipment_and_services,
FET,"Forum Energy Technologies, Inc.",oil_and_gas_equipment_and_services,
FLOC,Flowco Holdings Inc.,oil_and_gas_equipment_and_services,
FTK,"Flotek Industries, Inc.",oil_and_gas_equipment_and_services,
HAL,Halliburton Company,oil_and_gas_equipment_and_services,
HLX,"Helix Energy Solutions Group, Inc.",oil_and_gas_equipment_and_services,
INVX,"Innovex International, Inc.",oil_and_gas_equipment_and_services,
KGS,"Kodiak Gas Services, Inc.",oil_and_gas_equipment_and_services,
LB,LandBridge Company LLC,oil_and_gas_equipment_and_services,
LBRT,Liberty Energy Inc.,oil_and_gas_equipment_and_services,
MRC,MRC Global Inc.,oil_and_gas_equipment_and_services,
NESR,National Energy Services Reunited Corp.,oil_and_gas_equipment_and_services,
NEX,NexTier Oilfield Solutions Inc.,oil_and_gas_equipment_and_services,
NOV,NOV Inc.,oil_and_gas_equipment_and_services,
NPKI,NPK International Inc.,oil_and_gas_equipment_and_services,
NR,"Newpark Resources, Inc.",oil_and_gas_equipment_and_services,
OII,"Oceaneering International, Inc.",oil_and_gas_equipment_and_services,
OIS,"Oil States International, Inc.",oil_and_gas_equipment_and_services,
PFHC,ProFrac Holding Corp.,oil_and_gas_equipment_and_services,
PUMP,ProPetro Holding Corp.,oil_and_gas_equipment_and_services,
RES,"RPC, Inc.",oil_and_gas_equipment_and_services,
SEI,"Solaris Energy Infrastructure, Inc.",oil_and_gas_equipment_and_services,
SLB,SLB N.V.,oil_and_gas_equipment_and_services,
SLCA,"U.S. Silica Holdings, Inc.",oil_and_gas_equipment_and_services,
TDW,Tidewater Inc.,oil_and_gas_equipment_and_services,
TTI,"TETRA Technologies, Inc.",oil_and_gas_equipment_and_services,
USAC,"USA Compression Partners, LP",oil_and_gas_equipment_and_services,
VTOL,Bristow Group Inc.,oil_and_gas_equipment_and_services,
WFRD,Weatherford International plc,oil_and_gas_equipment_and_services,
WHD,"Cactus, Inc.",oil_and_gas_equipment_and_services,
XPRO,Expro Group Holdings N.V.,oil_and_gas_equipment_and_services,
