ticker,company_name,segment,sub_segment
APA,APA Corporation,oil_and_gas_exploration_and_production,
AR,Antero Resources Corporation,oil_and_gas_exploration_and_production,
BCEI,"Civitas Resources, Inc.",oil_and_gas_exploration_and_production,
BKV,BKV Corporation,oil_and_gas_exploration_and_production,
BSM,"Black Stone Minerals, L.P.",oil_and_gas_exploration_and_production,
CDEV,Permian Resources Corporation,oil_and_gas_exploration_and_production,
CHK,Chesapeake Energy Corporation,oil_and_gas_exploration_and_production,
CHKEL,Chesapeake Energy Corporation,oil_and_gas_exploration_and_production,
CHKEZ,Chesapeake Energy Corporation,oil_and_gas_exploration_and_production,
CHRD,Chord Energy Corporation,oil_and_gas_exploration_and_production,
CIVI,"Civitas Resources, Inc.",oil_and_gas_exploration_and_production,
CLMT,"Calumet, Inc.",oil_and_gas_exploration_and_production,
CNX,CNX Resources Corporation,oil_and_gas_exploration_and_production,
COG,Cabot Oil & Gas Corporation,oil_and_gas_exploration_and_production,
COP,ConocoPhillips,oil_and_gas_exploration_and_production,
CPE,Callon Petroleum Company,oil_and_gas_exploration_and_production,
CRC,California Resources Corporation,oil_and_gas_exploration_and_production,
CRGY,Crescent Energy Company,oil_and_gas_exploration_and_production,
CRK,"Comstock Resources, Inc.",oil_and_gas_exploration_and_production,
CTRA,Coterra Energy Inc.,oil_and_gas_exploration_and_production,
DEN,Denbury Inc.,oil_and_gas_exploration_and_production,
DMLP,"Dorchester Minerals, L.P.",oil_and_gas_exploration_and_production,
DVN,Devon Energy Corporation,oil_and_gas_exploration_and_production,
EGY,"VAALCO Energy, Inc.",oil_and_gas_exploration_and_production,
EOG,"EOG Resources, Inc.",oil_and_gas_exploration_and_production,
EQT,EQT Corporation,oil_and_gas_exploration_and_production,
ESTE,"Earthstone Energy, Inc.",oil_and_gas_exploration_and_production,
EXE,Expand Energy Corporation,oil_and_gas_exploration_and_production,
FANG,"Diamondback Energy, Inc.",oil_and_gas_exploration_and_production,
FLMN,Falcon Minerals Corporation,oil_and_gas_exploration_and_production,
GPOR,Gulfport Energy Corporation,oil_and_gas_exploration_and_production,
GRNT,"Granite Ridge Resources, Inc",oil_and_gas_exploration_and_production,
HES,Hess Corporation,oil_and_gas_exploration_and_production,
HPK,"HighPeak Energy, Inc.",oil_and_gas_exploration_and_production,
KOS,Kosmos Energy Ltd.,oil_and_gas_exploration_and_production,
KRP,"Kimbell Royalty Partners, LP",oil_and_gas_exploration_and_production,
MGY,Magnolia Oil & Gas Corporation,oil_and_gas_exploration_and_production,
MNR,Mach Natural Resources LP,oil_and_gas_exploration_and_production,
MRO,Marathon Oil Corporation,oil_and_gas_exploration_and_production,
MTDR,Matador Resources Company,oil_and_gas_exploration_and_production,
MUR,Murphy Oil Corporation,oil_and_gas_exploration_and_production,
NEXT,NextDecade Corporation,oil_and_gas_exploration_and_production,
NOG,"Northern Oil and Gas, Inc.",oil_and_gas_exploration_and_production,
OAS,Oasis Petroleum Inc.,oil_and_gas_exploration_and_production,
OVV,Ovintiv Inc.,oil_and_gas_exploration_and_production,
OXY,Occidental Petroleum Corporation,oil_and_gas_exploration_and_production,
PR,Permian Resources Corporation,oil_and_gas_exploration_and_production,
PVAC,Penn Virginia Corporation,oil_and_gas_exploration_and_production,
PXD,Pioneer Natural Resources Company,oil_and_gas_exploration_and_production,
REPX,"Riley Exploration Permian, Inc.",oil_and_gas_exploration_and_production,
ROCC,Ranger Oil Corporation,oil_and_gas_exploration_and_production,
RRC,Range Resources Corporation,oil_and_gas_exploration_and_production,
SBOW,"SilverBow Resources, Inc.",oil_and_gas_exploration_and_production,
SD,"SandRidge Energy, Inc.",oil_and_gas_exploration_and_production,
SM,SM Energy Company,oil_and_gas_exploration_and_production,
SWN,Southwestern Energy Company,oil_and_gas_exploration_and_production,
TALO,Talos Energy Inc.,oil_and_gas_exploration_and_production,
TBN,Tamboran Resources Corp,oil_and_gas_exploration_and_production,
TELL,Tellurian Inc.,oil_and_gas_exploration_and_production,
TPL,Texas Pacific Land Corporation,oil_and_gas_exploration_and_production,
TXO,"TXO Partners, L.P.",oil_and_gas_exploration_and_production,
VTLE,"Vital Energy, Inc.",oil_and_gas_exploration_and_production,
VTS,"Vitesse Energy, Inc.",oil_and_gas_exploration_and_production,
WTI,"W&T Offshore, Inc.",oil_and_gas_exploration_and_production,
