ticker,company_name,segment,sub_segment
BP,BP p.l.c.,oil_and_gas_integrated,
CVE,Cenovus Energy Inc.,oil_and_gas_integrated,
CVX,Chevron Corporation,oil_and_gas_integrated,
E,Eni S.p.A.,oil_and_gas_integrated,
EC,Ecopetrol S.A.,oil_and_gas_integrated,
EQNR,Equinor ASA,oil_and_gas_integrated,
IMO,Imperial Oil Limited,oil_and_gas_integrated,
NFG,National Fuel Gas Company,oil_and_gas_integrated,
PBR,Petróleo Brasileiro S.A. - Petrobras,oil_and_gas_integrated,
PBR-A,Petróleo Brasileiro S.A. - Petrobras,oil_and_gas_integrated,
SHEL,Shell plc,oil_and_gas_integrated,
SU,Suncor Energy Inc.,oil_and_gas_integrated,
TGS,Transportadora de Gas del Sur S.A.,oil_and_gas_integrated,
TTE,TotalEnergies SE,oil_and_gas_integrated,
XOM,Exxon Mobil Corporation,oil_and_gas_integrated,
YPF,YPF Sociedad Anónima,oil_and_gas_integrated,
