ticker,company_name,segment,sub_segment
AM,Antero Midstream Corporation,oil_and_gas_midstream,
CQP,"Cheniere Energy Partners, L.P.",oil_and_gas_midstream,
DHT,"DHT Holdings, Inc.",oil_and_gas_midstream,
DKL,"Delek Logistics Partners, LP",oil_and_gas_midstream,
DTM,"DT Midstream, Inc.",oil_and_gas_midstream,
ENB,Enbridge Inc.,oil_and_gas_midstream,
EPD,Enterprise Products Partners L.P.,oil_and_gas_midstream,
ET,Energy Transfer LP,oil_and_gas_midstream,
FLNG,FLEX LNG Ltd.,oil_and_gas_midstream,
FRO,Frontline Ltd.,oil_and_gas_midstream,
GEL,"Genesis Energy, L.P.",oil_and_gas_midstream,
GLNG,Golar LNG Limited,oil_and_gas_midstream,
GLP,Global Partners LP,oil_and_gas_midstream,
HESM,Hess Midstream LP,oil_and_gas_midstream,
INSW,"International Seaways, Inc.",oil_and_gas_midstream,
KMI,"Kinder Morgan, Inc.",oil_and_gas_midstream,
KNTK,Kinetik Holdings Inc.,oil_and_gas_midstream,
LNG,"Cheniere Energy, Inc.",oil_and_gas_midstream,
LPG,Dorian LPG Ltd.,oil_and_gas_midstream,
MPLX,MPLX Lp,oil_and_gas_midstream,
NGL,NGL Energy Partners LP,oil_and_gas_midstream,
NVGS,Navigator Holdings Ltd.,oil_and_gas_midstream,
OKE,"ONEOK, Inc.",oil_and_gas_midstream,
PAA,"Plains All American Pipeline, L.P.",oil_and_gas_midstream,
PAGP,"Plains GP Holdings, L.P.",oil_and_gas_midstream,
PBA,Pembina Pipeline Corporation,oil_and_gas_midstream,
SEAL-PB,Seapeak LLC,oil_and_gas_midstream,
SOBO,South Bow Corporation,oil_and_gas_midstream,
STNG,Scorpio Tankers Inc.,oil_and_gas_midstream,
SUNC,SunocoCorp LLC,oil_and_gas_midstream,
TCPA,TransCanada PipeLines Limited 6,oil_and_gas_midstream,
TEN,Tsakos Energy Navigation Limited,oil_and_gas_midstream,
TEN-PE,Tsakos Energy Navigation Limited,oil_and_gas_midstream,
TK,Teekay Corporation,oil_and_gas_midstream,
TNK,Teekay Tankers Ltd.,oil_and_gas_midstream,
TRGP,Targa Resources Corp.,oil_and_gas_midstream,
TRMD,TORM plc,oil_and_gas_midstream,
TRP,TC Energy Corporation,oil_and_gas_midstream,
VG,"Venture Global, Inc.",oil_and_gas_midstream,
VNOM,"Viper Energy, Inc.",oil_and_gas_midstream,
WES,"Western Midstream Partners, LP",oil_and_gas_midstream,
WMB,"The Williams Companies, Inc.",oil_and_gas_midstream,
