ticker,company_name,segment,sub_segment
BRBR,"BellRing Brands, Inc.",packaged_foods,
CAG,"Conagra Brands, Inc.",packaged_foods,
CENT,Central Garden & Pet Company,packaged_foods,
CPB,Campbell Soup Company,packaged_foods,
DAR,Darling Ingredients Inc.,packaged_foods,
FLO,"Flowers Foods, Inc.",packaged_foods,
FRPT,"Freshpet, Inc.",packaged_foods,
GIS,"General Mills, Inc.",packaged_foods,
HLF,Herbalife Nutrition Ltd.,packaged_foods,
HRL,Hormel Foods Corporation,packaged_foods,
INGR,Ingredion Incorporated,packaged_foods,
JBSS,"John B. Sanfilippo & Son, Inc.",packaged_foods,
JJSF,J&J Snack Foods Corp.,packaged_foods,
KHC,The Kraft Heinz Company,packaged_foods,
KLG,WK Kellogg Co,packaged_foods,
LANC,Lancaster Colony Corporation,packaged_foods,
LW,"Lamb Weston Holdings, Inc.",packaged_foods,
MAMA,"Mama's Creations, Inc.",packaged_foods,
MKC,"McCormick & Company, Incorporated",packaged_foods,
MKC-V,"McCormick & Company, Incorporated",packaged_foods,
MZTI,The Marzetti Company,packaged_foods,
POST,"Post Holdings, Inc.",packaged_foods,
PPC,Pilgrim's Pride Corporation,packaged_foods,
SENEA,Seneca Foods Corporation,packaged_foods,
SJM,The J. M. Smucker Company,packaged_foods,
SMPL,The Simply Good Foods Company,packaged_foods,
SOVO,"Sovos Brands, Inc.",packaged_foods,
STKL,SunOpta Inc.,packaged_foods,
THRN,"Thorne HealthTech, Inc.",packaged_foods,
THS,"TreeHouse Foods, Inc.",packaged_foods,
TWNK,"Hostess Brands, Inc.",packaged_foods,
UTZ,"Utz Brands, Inc.",packaged_foods,
