ticker,company_name,segment,sub_segment
BALL,Ball Corporation,packaging_and_containers,
BERY,"Berry Global Group, Inc.",packaging_and_containers,
BLL,Ball Corporation,packaging_and_containers,
CCK,"Crown Holdings, Inc.",packaging_and_containers,
GEF,"Greif, Inc.",packaging_and_containers,
GPK,Graphic Packaging Holding Company,packaging_and_containers,
IP,International Paper Company,packaging_and_containers,
KRT,Karat Packaging Inc.,packaging_and_containers,
MYE,"Myers Industries, Inc.",packaging_and_containers,
OI,"O-I Glass, Inc.",packaging_and_containers,
PKG,Packaging Corporation of America,packaging_and_containers,
PTVE,Pactiv Evergreen Inc.,packaging_and_containers,
REYN,Reynolds Consumer Products Inc.,packaging_and_containers,
SEE,Sealed Air Corporation,packaging_and_containers,
SLGN,Silgan Holdings Inc.,packaging_and_containers,
SON,Sonoco Products Company,packaging_and_containers,
TRS,TriMas Corporation,packaging_and_containers,
WRK,WestRock Company,packaging_and_containers,
