ticker,company_name,segment,sub_segment
BFAM,Bright Horizons Family Solutions Inc.,personal_products_and_services,
CSV,"Carriage Services, Inc.",personal_products_and_services,
CVSA,Covista Inc.,personal_products_and_services,
DSEY,"Diversey Holdings, Ltd.",personal_products_and_services,
FTDR,"Frontdoor, Inc.",personal_products_and_services,
HRB,"H&R Block, Inc.",personal_products_and_services,
MCW,"Mister Car Wash, Inc.",personal_products_and_services,
ROL,"Rollins, Inc.",personal_products_and_services,
ROVR,"Rover Group, Inc.",personal_products_and_services,
SCI,Service Corporation International,personal_products_and_services,
