ticker,company_name,segment,sub_segment
AEM,Agnico Eagle Mines Limited,precious_metals,
AG,First Majestic Silver Corp,precious_metals,
AGI,Alamos Gold Inc.,precious_metals,
ALM,Almonty Industries Inc. Common Shares,precious_metals,
ASM,Avino Silver & Gold Mines Ltd.,precious_metals,
AU,AngloGold Ashanti Plc,precious_metals,
AUST,Austin Gold Corp.,precious_metals,
B,Barrick Mining Corporation,precious_metals,
BGL,Blue Gold Limited,precious_metals,
BGLWW,Blue Gold Limited Warrant,precious_metals,
BTG,B2Gold Corp.,precious_metals,
BVN,Compañía de Minas Buenaventura S.A.A.,precious_metals,
CDE,"Coeur Mining, Inc.",precious_metals,
CGAU,Centerra Gold Inc.,precious_metals,
CMCL,Caledonia Mining Corporation Plc,precious_metals,
CTGO,"Contango Ore, Inc.",precious_metals,
DC,Dakota Gold Corp.,precious_metals,
DRD,DRDGOLD Limited,precious_metals,
EGO,Eldorado Gold Corporation,precious_metals,
ELE,Elemental Royalty Corporation Common Stock,precious_metals,
EQX,Equinox Gold Corp.,precious_metals,
EXK,Endeavour Silver Corp.,precious_metals,
FNV,Franco-Nevada Corporation,precious_metals,
FSM,Fortuna Mining Corp.,precious_metals,
GFI,Gold Fields Limited,precious_metals,
GLDG,GoldMining Inc.,precious_metals,
GMTL,Guardian Metal Resources PLC Sponsored ADR,precious_metals,
GOLD,Barrick Gold Corporation,precious_metals,
GORO,Gold Resource Corporation,precious_metals,
GROY,Gold Royalty Corp.,precious_metals,
HL,Hecla Mining Company,precious_metals,
HMY,Harmony Gold Mining Company Limited,precious_metals,
HYMC,Hycroft Mining Holding Corporation,precious_metals,
IAG,IAMGOLD Corporation,precious_metals,
IAUX,i-80 Gold Corp.,precious_metals,
IDR,"Idaho Strategic Resources, Inc.",precious_metals,
ITRG,Integra Resources Corp.,precious_metals,
KGC,Kinross Gold Corporation,precious_metals,
MTA,Metalla Royalty & Streaming Ltd.,precious_metals,
MUX,McEwen Mining Inc.,precious_metals,
NAMM,Namib Minerals Ordinary Shares,precious_metals,
NAMMW,Namib Minerals Warrants,precious_metals,
NEM,Newmont Corporation,precious_metals,
NEWP,New Pacific Metals Corp.,precious_metals,
NFGC,New Found Gold Corp.,precious_metals,
NG,NovaGold Resources Inc.,precious_metals,
NVA,Nova Minerals Limited,precious_metals,
NVAWW,Nova Minerals Limited,precious_metals,
ODV,Osisko Development Corp.,precious_metals,
ODVWZ,Osisko Development Corp. Warrant expiring 5/27/2027,precious_metals,
OR,OR Royalties Inc.,precious_metals,
ORLA,Orla Mining Ltd.,precious_metals,
PAAS,Pan American Silver Corp,precious_metals,
PLG,Platinum Group Metals Ltd.,precious_metals,
PPTA,Perpetua Resources Corp.,precious_metals,
PZG,Paramount Gold Nevada Corp.,precious_metals,
RGLD,Royal Gold Inc,precious_metals,
SA,Seabridge Gold Inc.,precious_metals,
SBSW,Sibanye Stillwater Limited,precious_metals,
SVM,Silvercorp Metals Inc.,precious_metals,
THM,International Tower Hill Mines Ltd.,precious_metals,
TRX,TRX Gold Corporation,precious_metals,
USAU,U.S. Gold Corp.,precious_metals,
VGZ,Vista Gold Corp.,precious_metals,
VOXR,Vox Royalty Corp.,precious_metals,
WPM,Wheaton Precious Metals Corp.,precious_metals,
