ticker,company_name,segment,sub_segment
V,Visa Inc.,real_estate,
MA,Mastercard Incorporated,real_estate,
BABA,Alibaba Group Holding Limited,real_estate,
UBER,"Uber Technologies, Inc.",real_estate,
WELL,Welltower Inc.,real_estate,
ACN,Accenture plc,real_estate,
PLD,"Prologis, Inc.",real_estate,
EQIX,"Equinix, Inc.",real_estate,
BN,Brookfield Corporation,real_estate,
MELI,"MercadoLibre, Inc.",real_estate,
AMT,American Tower Corporation (REIT),real_estate,
DLR,"Digital Realty Trust, Inc.",real_estate,
RELX,RELX PLC PLC,real_estate,
SPG,"Simon Property Group, Inc.",real_estate,
O,Realty Income Corporation,real_estate,
PSA,Public Storage,real_estate,
EBAY,eBay Inc.,real_estate,
VTR,"Ventas, Inc.",real_estate,
MSCI,MSCI Inc.,real_estate,
CCI,Crown Castle Inc.,real_estate,
TCOM,Trip.com Group Limited,real_estate,
FISV,"Fiserv, Inc.",real_estate,
IRM,Iron Mountain Incorporated (Delaware)Common Stock REIT,real_estate,
VICI,VICI Properties Inc.,real_estate,
AGNCN,"AGNC Investment Corp. Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",real_estate,
AGNCO,"AGNC Investment Corp. Depositary Shares, each representing a 1/1,000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",real_estate,
AGNCL,"AGNC Investment Corp. Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",real_estate,
EXR,Extra Space Storage Inc,real_estate,
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,real_estate,
AGNCP,"AGNC Investment Corp. Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",real_estate,
FICO,Fair Isaac Corporation,real_estate,
FIS,"Fidelity National Information Services, Inc.",real_estate,
BNH,"Brookfield Finance Inc. 4.625% Subordinated Notes due October 16, 2080",real_estate,
AVB,"AvalonBay Communities, Inc.",real_estate,
EDU,"New Oriental Education & Technology Group, Inc. Sponsored ADR representing 10 Ordinary Share (Cayman Islands)",real_estate,
BNJ,Brookfield Finance Inc. 4.50% Perpetual Subordinated Notes,real_estate,
EQR,Equity Residential Common Shares of Beneficial Interest,real_estate,
CPAY,"Corpay, Inc.",real_estate,
GPN,Global Payments Inc.,real_estate,
BR,"Broadridge Financial Solutions, Inc.",real_estate,
RBA,"RB Global, Inc.",real_estate,
SBAC,SBA Communications Corporation,real_estate,
CSGP,"CoStar Group, Inc.",real_estate,
AKAM,"Akamai Technologies, Inc.",real_estate,
WY,Weyerhaeuser Company,real_estate,
SUI,"Sun Communities, Inc.",real_estate,
PAYP,PayPay Corporation American Depository Shares,real_estate,
ESS,"Essex Property Trust, Inc.",real_estate,
NLY,Annaly Capital Management Inc.,real_estate,
GRAB,Grab Holdings Limited,real_estate,
KIM,Kimco Realty Corporation (HC),real_estate,
WPC,W. P. Carey Inc. REIT,real_estate,
MAA,"Mid-America Apartment Communities, Inc.",real_estate,
REG,Regency Centers Corporation,real_estate,
HST,"Host Hotels & Resorts, Inc.",real_estate,
OHI,"Omega Healthcare Investors, Inc.",real_estate,
GLPI,"Gaming and Leisure Properties, Inc.",real_estate,
LAMR,Lamar Advertising Company,real_estate,
ELS,"Equity Lifestyle Properties, Inc.",real_estate,
DOC,"Healthpeak Properties, Inc.",real_estate,
AGNC,AGNC Investment Corp.,real_estate,
UDR,"UDR, Inc.",real_estate,
Z,"Zillow Group, Inc.",real_estate,
ZG,"Zillow Group, Inc.",real_estate,
CPT,Camden Property Trust,real_estate,
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,real_estate,
EGP,"EastGroup Properties, Inc.",real_estate,
AHR,"American Healthcare REIT, Inc.",real_estate,
FRT,Federal Realty Investment Trust,real_estate,
ADC,Agree Realty Corporation,real_estate,
BRX,Brixmor Property Group Inc.,real_estate,
CART,Maplebear Inc.,real_estate,
CTRE,"CareTrust REIT, Inc.",real_estate,
BXP,"BXP, Inc.",real_estate,
CUBE,CubeSmart Common Shares,real_estate,
ARE,"Alexandria Real Estate Equities, Inc.",real_estate,
NNN,"NNN REIT, Inc.",real_estate,
LINE,"Lineage, Inc.",real_estate,
REXR,"Rexford Industrial Realty, Inc.",real_estate,
JAN,"Janus Living, Inc.",real_estate,
FR,"First Industrial Realty Trust, Inc.",real_estate,
HQY,"HealthEquity, Inc.",real_estate,
TAL,TAL Education Group,real_estate,
STAG,"Stag Industrial, Inc.",real_estate,
AMTM,"Amentum Holdings, Inc.",real_estate,
STWD,"STARWOOD PROPERTY TRUST, INC. Starwood Property Trust Inc.",real_estate,
EPRT,"Essential Properties Realty Trust, Inc.",real_estate,
RYN,Rayonier Inc. REIT,real_estate,
HR,Healthcare Realty Trust Incorporated,real_estate,
RHP,"Ryman Hospitality Properties, Inc. (REIT)",real_estate,
LYFT,"Lyft, Inc.",real_estate,
WEX,WEX Inc.,real_estate,
RITM,Rithm Capital Corp.,real_estate,
LAUR,"Laureate Education, Inc.",real_estate,
KRG,Kite Realty Group Trust,real_estate,
SBRA,"Sabra Health Care REIT, Inc.",real_estate,
VNO,Vornado Realty Trust,real_estate,
MAC,Macerich Company (The),real_estate,
OUT,OUTFRONT Media Inc.,real_estate,
EXLS,"ExlService Holdings, Inc.",real_estate,
GHC,Graham Holdings Company,real_estate,
ETSY,"Etsy, Inc.",real_estate,
PECO,"Phillips Edison & Company, Inc.",real_estate,
LOPE,"Grand Canyon Education, Inc.",real_estate,
DHCNL,Diversified Healthcare Trust 6.25% Senior Notes Due 2046,real_estate,
REGCP,Regency Centers Corporation 6.25% Series A Cumulative Redeemable Preferred Stock,real_estate,
RCB,Ready Capital Corporation 6.20% Senior Notes due 2026,real_estate,
DHCNI,Diversified Healthcare Trust 5.625% Senior Notes due 2042,real_estate,
FRMI,Fermi Inc.,real_estate,
NHI,"National Health Investors, Inc.",real_estate,
CVSA,Covista Inc. Common Shares,real_estate,
FOUR,"Shift4 Payments, Inc.",real_estate,
REGCO,Regency Centers Corporation 5.875% Series B Cumulative Redeemable Preferred Stock,real_estate,
SKT,Tanger Inc.,real_estate,
DLO,DLocal Limited,real_estate,
HHH,Howard Hughes Holdings Inc.,real_estate,
EPR,EPR Properties,real_estate,
LRN,"Stride, Inc.",real_estate,
MMS,"Maximus, Inc.",real_estate,
CUZ,Cousins Properties Incorporated,real_estate,
BNL,"Broadstone Net Lease, Inc.",real_estate,
CDP,COPT Defense Properties Common Shares of Beneficial Interest,real_estate,
JOE,St. Joe Company (The),real_estate,
IRT,"Independence Realty Trust, Inc.",real_estate,
RELY,"Remitly Global, Inc.",real_estate,
KRC,Kilroy Realty Corporation,real_estate,
BFH,"Bread Financial Holdings, Inc.",real_estate,
COLD,"Americold Realty Trust, Inc.",real_estate,
BXMT,"Blackstone Mortgage Trust, Inc.",real_estate,
PAY,"Paymentus Holdings, Inc.",real_estate,
RWTN,"Redwood Trust, Inc. 9.125% Senior Notes Due 2029",real_estate,
RWTO,"Redwood Trust, Inc. 9.00% Senior Notes Due 2029",real_estate,
ANDG,Andersen Group Inc.,real_estate,
NSA,National Storage Affiliates Trust Common Shares of Beneficial Interest,real_estate,
WU,Western Union Company (The),real_estate,
APLE,"Apple Hospitality REIT, Inc. Common Shares",real_estate,
DBRG,"DigitalBridge Group, Inc.",real_estate,
MPT,"Medical Properties Trust, Inc.",real_estate,
LXP,LXP Industrial Trust,real_estate,
SLG,SL Green Realty Corp,real_estate,
FCPT,"Four Corners Property Trust, Inc.",real_estate,
DX,"Dynex Capital, Inc.",real_estate,
MFAO,"MFA Financial, Inc. 9.000% Senior Notes due 2029",real_estate,
