ticker,company_name,segment,sub_segment
CBRE,"CBRE Group, Inc.",real_estate_services,
CSGP,"CoStar Group, Inc.",real_estate_services,
EXPI,"eXp World Holdings, Inc.",real_estate_services,
HOUS,Anywhere Real Estate Inc.,real_estate_services,
JLL,Jones Lang LaSalle Incorporated,real_estate_services,
KW,"Kennedy-Wilson Holdings, Inc.",real_estate_services,
MMI,"Marcus & Millichap, Inc.",real_estate_services,
NMRK,"Newmark Group, Inc.",real_estate_services,
OPEN,Opendoor Technologies Inc.,real_estate_services,
RDFN,Redfin Corporation,real_estate_services,
RLGY,Realogy Holdings Corp.,real_estate_services,
