ticker,company_name,segment,sub_segment
AEE,Ameren Corporation,regulated_electric,
AEP,"American Electric Power Company, Inc.",regulated_electric,
AGR,"Avangrid, Inc.",regulated_electric,
AQNB,Algonquin Power & Utilities Cor,regulated_electric,
CMS,CMS Energy Corporation,regulated_electric,
CMSA,CMS Energy Corporation 5.6% JRSUB NT 78,regulated_electric,
CMSC,CMS Energy Corporation 5.875% J,regulated_electric,
CMSD,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079,regulated_electric,
CNP,"CenterPoint Energy, Inc.",regulated_electric,
D,"Dominion Energy, Inc.",regulated_electric,
DTB,DTE Energy Company 2020 Series,regulated_electric,
DTE,DTE Energy Company,regulated_electric,
DTG,DTE Energy Company 2021 Series,regulated_electric,
DTJ,DTE Energy Company JR SUB DEB 76,regulated_electric,
DTW,DTE Energy Company JR SUB DB 2017 E,regulated_electric,
DTY,DTE Energy Company,regulated_electric,
DUK,Duke Energy Corporation,regulated_electric,
DUKB,Duke Energy Corporation 5.625%,regulated_electric,
EAI,"Entergy Arkansas, Inc. 1M BD 4.875%66",regulated_electric,
ED,"Consolidated Edison, Inc.",regulated_electric,
EIX,Edison International,regulated_electric,
ELC,"Entergy Louisiana, LLC COLLATERAL TR MT",regulated_electric,
ES,Eversource Energy,regulated_electric,
ETI-P,"Entergy Texas, Inc.",regulated_electric,
ETR,Entergy Corporation,regulated_electric,
EVRG,"Evergy, Inc.",regulated_electric,
EXC,Exelon Corporation,regulated_electric,
FE,FirstEnergy Corp.,regulated_electric,
FRMI,Fermi Inc. Common Stock,regulated_electric,
IDA,"IDACORP, Inc.",regulated_electric,
LNT,Alliant Energy Corporation,regulated_electric,
NEE,"NextEra Energy, Inc.",regulated_electric,
OGE,OGE Energy Corp.,regulated_electric,
OKLO,Oklo Inc.,regulated_electric,
PCG,PG&E Corporation,regulated_electric,
PEG,Public Service Enterprise Group Incorporated,regulated_electric,
PNM,"PNM Resources, Inc.",regulated_electric,
PNW,Pinnacle West Capital Corporation,regulated_electric,
POR,Portland General Electric Company,regulated_electric,
PPL,PPL Corporation,regulated_electric,
PPLC,PPL Corporation Corporate Unit,regulated_electric,
SO,The Southern Company,regulated_electric,
SOJC,The Southern Company JR 2017B NT 77,regulated_electric,
SOJD,Southern Company (The) Series 2,regulated_electric,
SOJE,Southern Company (The) Series 2,regulated_electric,
SOMN,The Southern Company,regulated_electric,
SREA,Sempra,regulated_electric,
TXNM,"TXNM Energy, Inc.",regulated_electric,
WEC,"WEC Energy Group, Inc.",regulated_electric,
XEL,Xcel Energy Inc.,regulated_electric,
