ticker,company_name,segment,sub_segment
ATO,Atmos Energy Corporation,regulated_gas,
BIPC,Brookfield Infrastructure Corporation,regulated_gas,
CPK,Chesapeake Utilities Corporation,regulated_gas,
CTRI,"Centuri Holdings, Inc.",regulated_gas,
NI,NiSource Inc.,regulated_gas,
NJR,New Jersey Resources Corporation,regulated_gas,
NWN,Northwest Natural Holding Company,regulated_gas,
OGS,"ONE Gas, Inc.",regulated_gas,
SPH,"Suburban Propane Partners, L.P.",regulated_gas,
SR,Spire Inc.,regulated_gas,
SWX,"Southwest Gas Holdings, Inc.",regulated_gas,
UGI,UGI Corporation,regulated_gas,
