ticker,company_name,segment,sub_segment
ARTNA,Artesian Resources Corporation,regulated_water,
AWK,"American Water Works Company, Inc.",regulated_water,
AWR,American States Water Company,regulated_water,
CDZI,Cadiz Inc.,regulated_water,
CDZIP,Cadiz Inc.,regulated_water,
CWCO,Consolidated Water Co. Ltd.,regulated_water,
CWT,California Water Service Group,regulated_water,
GWRS,"Global Water Resources, Inc.",regulated_water,
HTO,H2O America,regulated_water,
MSEX,Middlesex Water Company,regulated_water,
PCYO,Pure Cycle Corporation,regulated_water,
SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,regulated_water,
WTRG,"Essential Utilities, Inc.",regulated_water,
YORW,The York Water Company,regulated_water,
