ticker,company_name,segment,sub_segment
AAT,"American Assets Trust, Inc.",reit_diversified,
BNL,"Broadstone Net Lease, Inc.",reit_diversified,
BRSP,"BrightSpire Capital, Inc.",reit_diversified,
CTO,"CTO Realty Growth, Inc.",reit_diversified,
DBRG,"DigitalBridge Group, Inc.",reit_diversified,
EPRT,"Essential Properties Realty Trust, Inc.",reit_diversified,
ESRT,"Empire State Realty Trust, Inc.",reit_diversified,
FVR,"FrontView REIT, Inc.",reit_diversified,
GIPR,"Generation Income Properties, Inc.",reit_diversified,
GNL,"Global Net Lease, Inc.",reit_diversified,
GOOD,Gladstone Commercial Corporation,reit_diversified,
GOODN,Gladstone Commercial Corporation,reit_diversified,
GOODO,Gladstone Commercial Corporation,reit_diversified,
MDRR,"Medalist Diversified REIT, Inc.",reit_diversified,
MKZR,"MacKenzie Realty Capital, Inc.",reit_diversified,
OLP,"One Liberty Properties, Inc.",reit_diversified,
PKST,Peakstone Realty Trust,reit_diversified,
SAFE,Safehold Inc.,reit_diversified,
SQFT,"Presidio Property Trust, Inc.",reit_diversified,
SQFTP,"Presidio Property Trust, Inc.",reit_diversified,
SQFTW,"Presidio Property Trust, Inc.",reit_diversified,
VICI,VICI Properties Inc.,reit_diversified,
WPC,W. P. Carey Inc.,reit_diversified,
