ticker,company_name,segment,sub_segment
AHR,"American Healthcare REIT, Inc.",reit_healthcare_facilities,
CHCT,Community Healthcare Trust Incorporated,reit_healthcare_facilities,
CTRE,"CareTrust REIT, Inc.",reit_healthcare_facilities,
DHC,Diversified Healthcare Trust,reit_healthcare_facilities,
DHCNL,Diversified Healthcare Trust,reit_healthcare_facilities,
DOC,"Healthpeak Properties, Inc.",reit_healthcare_facilities,
HR,Healthcare Realty Trust Incorporated,reit_healthcare_facilities,
LTC,"LTC Properties, Inc.",reit_healthcare_facilities,
NHI,"National Health Investors, Inc.",reit_healthcare_facilities,
NHPBP,"National Healthcare Properties, Inc.",reit_healthcare_facilities,
OHI,"Omega Healthcare Investors, Inc.",reit_healthcare_facilities,
SBRA,"Sabra Health Care REIT, Inc.",reit_healthcare_facilities,
SILA,"Sila Realty Trust, Inc.",reit_healthcare_facilities,
STRW,Strawberry Fields REIT LLC,reit_healthcare_facilities,
UHT,Universal Health Realty Income Trust,reit_healthcare_facilities,
VTR,"Ventas, Inc.",reit_healthcare_facilities,
WELL,Welltower Inc.,reit_healthcare_facilities,
