ticker,company_name,segment,sub_segment
AHT,"Ashford Hospitality Trust, Inc.",reit_hotel_and_motel,
APLE,"Apple Hospitality REIT, Inc.",reit_hotel_and_motel,
BHR,Braemar Hotels & Resorts Inc.,reit_hotel_and_motel,
CLDT,Chatham Lodging Trust,reit_hotel_and_motel,
DRH,DiamondRock Hospitality Company,reit_hotel_and_motel,
HST,"Host Hotels & Resorts, Inc.",reit_hotel_and_motel,
INN,"Summit Hotel Properties, Inc.",reit_hotel_and_motel,
PEB,Pebblebrook Hotel Trust,reit_hotel_and_motel,
RHP,"Ryman Hospitality Properties, Inc.",reit_hotel_and_motel,
RLJ,RLJ Lodging Trust,reit_hotel_and_motel,
SOHOB,Sotherly Hotels Inc.,reit_hotel_and_motel,
SOHON,Sotherly Hotels Inc.,reit_hotel_and_motel,
SOHOO,Sotherly Hotels Inc.,reit_hotel_and_motel,
SVC,Service Properties Trust,reit_hotel_and_motel,
