ticker,company_name,segment,sub_segment
CIMN,Chimera Investment Corporation,reit_industrial,
CUBE,CubeSmart,reit_industrial,
EGP,"EastGroup Properties, Inc.",reit_industrial,
EXR,Extra Space Storage Inc.,reit_industrial,
IIPR,"Innovative Industrial Properties, Inc.",reit_industrial,
LINE,"Lineage, Inc.",reit_industrial,
LSI,"Life Storage, Inc.",reit_industrial,
NHPAP,"National Healthcare Properties, Inc.",reit_industrial,
PLD,"Prologis, Inc.",reit_industrial,
PSA,Public Storage,reit_industrial,
RCC,Ready Capital Corporation 5.75%,reit_industrial,
REXR,"Rexford Industrial Realty, Inc.",reit_industrial,
SCCE,Sachem Capital Corp. 6.00% Note,reit_industrial,
SCCF,Sachem Capital Corp. 7.125% Not,reit_industrial,
STAG,"STAG Industrial, Inc.",reit_industrial,
TRNO,Terreno Realty Corporation,reit_industrial,
