ticker,company_name,segment,sub_segment
AGNC,AGNC Investment Corp.,reit_mortgage,
AIC,Arlington Asset Investment Corp. 6.75% SR NT 25,reit_mortgage,
ARI,"Apollo Commercial Real Estate Finance, Inc.",reit_mortgage,
BRMK,Broadmark Realty Capital Inc.,reit_mortgage,
CIM,Chimera Investment Corporation,reit_mortgage,
DX,"Dynex Capital, Inc.",reit_mortgage,
EFC,Ellington Financial Inc.,reit_mortgage,
EFC-PC,Ellington Financial Inc.,reit_mortgage,
EFC-PD,Ellington Financial Inc.,reit_mortgage,
IVR,Invesco Mortgage Capital Inc.,reit_mortgage,
LADR,Ladder Capital Corp,reit_mortgage,
MFA,"MFA Financial, Inc.",reit_mortgage,
NLY,"Annaly Capital Management, Inc.",reit_mortgage,
NRZ,New Residential Investment Corp.,reit_mortgage,
ORC,"Orchid Island Capital, Inc.",reit_mortgage,
RCB,Ready Capital Corporation,reit_mortgage,
RITM,Rithm Capital Corp.,reit_mortgage,
SCCG,Sachem Capital Corp. 8.00% Note,reit_mortgage,
TWO,Two Harbors Investment Corp.,reit_mortgage,
