ticker,company_name,segment,sub_segment
ADC,Agree Realty Corporation,reit_retail,
ALEX,"Alexander & Baldwin, Inc.",reit_retail,
ALX,"Alexander's, Inc.",reit_retail,
BFS,"Saul Centers, Inc.",reit_retail,
BRX,Brixmor Property Group Inc.,reit_retail,
CBL,"CBL & Associates Properties, Inc.",reit_retail,
CURB,Curbline Properties Corp.,reit_retail,
GTY,Getty Realty Corp.,reit_retail,
IVT,InvenTrust Properties Corp.,reit_retail,
KIM,Kimco Realty Corporation,reit_retail,
MAC,The Macerich Company,reit_retail,
NTST,NETSTREIT Corp.,reit_retail,
PECO,"Phillips Edison & Company, Inc.",reit_retail,
REG,Regency Centers Corporation,reit_retail,
ROIC,Retail Opportunity Investments Corp.,reit_retail,
SKT,Tanger Inc.,reit_retail,
SPG,"Simon Property Group, Inc.",reit_retail,
UBA,Urstadt Biddle Properties Inc.,reit_retail,
UBP,Urstadt Biddle Properties Inc.,reit_retail,
