ticker,company_name,segment,sub_segment
AMT,American Tower Corporation,reit_specialty,
CCI,Crown Castle Inc.,reit_specialty,
CXW,"CoreCivic, Inc.",reit_specialty,
EPR,EPR Properties,reit_specialty,
EQIX,"Equinix, Inc.",reit_specialty,
GLPI,"Gaming and Leisure Properties, Inc.",reit_specialty,
IRM,Iron Mountain Incorporated,reit_specialty,
LAMR,Lamar Advertising Company,reit_specialty,
OUT,Outfront Media Inc.,reit_specialty,
PCH,PotlatchDeltic Corporation,reit_specialty,
RYN,Rayonier Inc.,reit_specialty,
SBAC,SBA Communications Corporation,reit_specialty,
UNIT,Uniti Group Inc.,reit_specialty,
WY,Weyerhaeuser Company,reit_specialty,
