ticker,company_name,segment,sub_segment
AQN,Algonquin Power & Utilities Corp.,renewable_utilities,
AXIA,AXIA Energia S.A.,renewable_utilities,
BEP,Brookfield Renewable Partners L.P.,renewable_utilities,
BEPC,Brookfield Renewable Corporation,renewable_utilities,
BESS,Bimergen Energy Corporation,renewable_utilities,
CEG,Constellation Energy Corporation,renewable_utilities,
CWEN,"Clearway Energy, Inc.",renewable_utilities,
EE,"Excelerate Energy, Inc.",renewable_utilities,
ELLO,Ellomay Capital Ltd.,renewable_utilities,
ENLT,Enlight Renewable Energy Ltd,renewable_utilities,
ORA,"Ormat Technologies, Inc.",renewable_utilities,
RNW,ReNew Energy Global Plc,renewable_utilities,
RNWWW,ReNew Energy Global plc,renewable_utilities,
SUUN,PowerBank Corporation,renewable_utilities,
WAVE,Eco Wave Power Global AB (publ),renewable_utilities,
