ticker,company_name,segment,sub_segment
BZH,"Beazer Homes USA, Inc.",residential_construction,
CCS,"Century Communities, Inc.",residential_construction,
CVCO,"Cavco Industries, Inc.",residential_construction,
DFH,"Dream Finders Homes, Inc.",residential_construction,
DHI,"D.R. Horton, Inc.",residential_construction,
GRBK,"Green Brick Partners, Inc.",residential_construction,
HOV,"Hovnanian Enterprises, Inc.",residential_construction,
HOVNP,"Hovnanian Enterprises, Inc. PFD DEP1/1000A",residential_construction,
IBP,"Installed Building Products, Inc.",residential_construction,
KBH,KB Home,residential_construction,
LEGH,Legacy Housing Corporation,residential_construction,
LEN,Lennar Corporation,residential_construction,
LGIH,"LGI Homes, Inc.",residential_construction,
MHO,"M/I Homes, Inc.",residential_construction,
MTH,Meritage Homes Corporation,residential_construction,
NVR,"NVR, Inc.",residential_construction,
PHM,"PulteGroup, Inc.",residential_construction,
SKY,"Champion Homes, Inc.",residential_construction,
SPHL,Springview Holdings Ltd Class A Ordinary Shares,residential_construction,
TMHC,Taylor Morrison Home Corporation,residential_construction,
TOL,"Toll Brothers, Inc.",residential_construction,
TPH,"Tri Pointe Homes, Inc.",residential_construction,
UHG,"United Homes Group, Inc.",residential_construction,
