ticker,company_name,segment,sub_segment
BH,Biglari Holdings Inc.,restaurants,
BJRI,"BJ's Restaurants, Inc.",restaurants,
BROS,Dutch Bros Inc.,restaurants,
CAKE,The Cheesecake Factory Incorporated,restaurants,
CAVA,"CAVA Group, Inc.",restaurants,
CBRL,"Cracker Barrel Old Country Store, Inc.",restaurants,
CHUY,"Chuy's Holdings, Inc.",restaurants,
CMG,"Chipotle Mexican Grill, Inc.",restaurants,
CNNE,"Cannae Holdings, Inc.",restaurants,
DPZ,"Domino's Pizza, Inc.",restaurants,
DRI,"Darden Restaurants, Inc.",restaurants,
EAT,"Brinker International, Inc.",restaurants,
FWRG,"First Watch Restaurant Group, Inc.",restaurants,
KRUS,"Kura Sushi USA, Inc.",restaurants,
MCD,McDonald's Corporation,restaurants,
PBPB,Potbelly Corporation,restaurants,
PZZA,"Papa John's International, Inc.",restaurants,
RUTH,"Ruth's Hospitality Group, Inc.",restaurants,
SBUX,Starbucks Corporation,restaurants,
SG,"Sweetgreen, Inc.",restaurants,
SHAK,Shake Shack Inc.,restaurants,
TAST,"Carrols Restaurant Group, Inc.",restaurants,
TWNPV,Twin Hospitality Group Inc.,restaurants,
TXRH,"Texas Roadhouse, Inc.",restaurants,
WEN,The Wendy's Company,restaurants,
WING,Wingstop Inc.,restaurants,
YUM,"Yum! Brands, Inc.",restaurants,
