ticker,company_name,segment,sub_segment
AAC,Ares Acquisition Corporation,shell_companies,
AACT,Ares Acquisition Corporation II,shell_companies,
ACQR,Independence Holdings Corp.,shell_companies,
ACTD,ArcLight Clean Transition Corp. II,shell_companies,
AHAC,Alpha Healthcare Acquisition Corp.,shell_companies,
AHPA,Avista Public Acquisition Corp. II,shell_companies,
ALCC,AltC Acquisition Corp.,shell_companies,
AMHC,Amplitude Healthcare Acquisition Corporation,shell_companies,
AONE,One,shell_companies,
APSG,Apollo Strategic Growth Capital,shell_companies,
APXT,Apex Treasury Corporation Class A,shell_companies,
ATMR,Altimar Acquisition Corp. II,shell_companies,
BCAC,Brookline Capital Acquisition Corp.,shell_companies,
BCTG,BCTG Acquisition Corp.,shell_companies,
BRPM,B. Riley Principal 150 Merger Corp.,shell_companies,
CBAH,"CBRE Acquisition Holdings, Inc.",shell_companies,
CCCX,Churchill Capital Corp X,shell_companies,
CCIV,"Lucid Group, Inc.",shell_companies,
CFVI,CF Acquisition Corp. VI,shell_companies,
CLBR,Colombier Acquisition Corp.,shell_companies,
CLII,Climate Change Crisis Real Impact I Acquisition Corporation,shell_companies,
CMII,CM Life Sciences II Inc.,shell_companies,
CMLT,CM Life Sciences III Inc.,shell_companies,
CNTQ,Chardan NexTech Acquisition 2 Corp.,shell_companies,
CRSA,Crescent Acquisition Corp.,shell_companies,
CTAC,Cerberus Telecom Acquisition Corp.,shell_companies,
CVII,Churchill Capital Corp VII,shell_companies,
CVIIU,Churchill Capital Corp VII Units,shell_companies,
DBDR,Roman DBDR Tech Acquisition Corp.,shell_companies,
DCRD,Decarbonization Plus Acquisition Corporation IV,shell_companies,
DGNR,Dragoneer Growth Opportunities Corp.,shell_companies,
DGNU,Dragoneer Growth Opportunities Corp. III,shell_companies,
DMII,Drugs Made In America Acquisition II Corp. Ordinary Shares,shell_companies,
DMYI,"dMY Technology Group, Inc. III",shell_companies,
DNAA,Social Capital Suvretta Holdings Corp. I,shell_companies,
DNAC,Social Capital Suvretta Holdings Corp. III,shell_companies,
DWAC,Digital World Acquisition Corp.,shell_companies,
ENFA,"890 5th Avenue Partners, Inc.",shell_companies,
ENVI,Environmental Impact Acquisition Corp.,shell_companies,
EOCW,Elliott Opportunity II Corp.,shell_companies,
FAII,Fortress Value Acquisition Corp. II,shell_companies,
FCAX,Fortress Capital Acquisition Corp.,shell_companies,
FGNA,FG New America Acquisition Corp.,shell_companies,
FORE,Foresight Acquisition Corp.,shell_companies,
FPAC,Far Peak Acquisition Corporation,shell_companies,
FRX,Forest Road Acquisition Corp.,shell_companies,
FSII,FS Development Corp. II,shell_companies,
FTIV,Fintech Acquisition Corp. IV,shell_companies,
FWAA,Fifth Wall Acquisition Corp. I,shell_companies,
