ticker,company_name,segment,sub_segment
ADEA,Adeia Inc.,software_application,
ADSK,"Autodesk, Inc.",software_application,
AGYS,"Agilysys, Inc.",software_application,
ALKT,"Alkami Technology, Inc.",software_application,
ALRM,"Alarm.com Holdings, Inc.",software_application,
AMPL,"Amplitude, Inc.",software_application,
APP,AppLovin Corporation,software_application,
APPF,"AppFolio, Inc.",software_application,
ASAN,"Asana, Inc.",software_application,
BILL,"Bill.com Holdings, Inc.",software_application,
BL,"BlackLine, Inc.",software_application,
BLKB,"Blackbaud, Inc.",software_application,
BRZE,"Braze, Inc.",software_application,
BSY,"Bentley Systems, Incorporated",software_application,
BTDR,Bitdeer Technologies Group,software_application,
BVC,BitVentures Limited,software_application,
CALX,"Calix, Inc.",software_application,
CDNS,"Cadence Design Systems, Inc.",software_application,
CLSK,"CleanSpark, Inc.",software_application,
COMP,"Compass, Inc.",software_application,
CRM,"Salesforce, Inc.",software_application,
CVLT,"Commvault Systems, Inc.",software_application,
CWAN,"Clearwater Analytics Holdings, Inc.",software_application,
CXM,"Sprinklr, Inc.",software_application,
DAVE,Dave Inc.,software_application,
DBD,"Diebold Nixdorf, Incorporated",software_application,
DDOG,"Datadog, Inc.",software_application,
DJCO,Daily Journal Corporation,software_application,
DOCU,"DocuSign, Inc.",software_application,
DSGX,The Descartes Systems Group Inc.,software_application,
DSP,Viant Technology Inc.,software_application,
DT,"Dynatrace, Inc.",software_application,
DUOL,"Duolingo, Inc.",software_application,
DV,"DoubleVerify Holdings, Inc.",software_application,
ESTC,Elastic N.V.,software_application,
FICO,Fair Isaac Corporation,software_application,
FIG,"Figma, Inc.",software_application,
FROG,JFrog Ltd.,software_application,
FRSH,Freshworks Inc.,software_application,
FSLY,"Fastly, Inc.",software_application,
GBTG,"Global Business Travel Group, Inc.",software_application,
GRAB,Grab Holdings Limited,software_application,
GRND,Grindr Inc.,software_application,
GTLB,GitLab Inc.,software_application,
GTM,ZoomInfo Technologies Inc.,software_application,
GWRE,"Guidewire Software, Inc.",software_application,
HKD,AMTD Digital Inc.,software_application,
HUBS,"HubSpot, Inc.",software_application,
IBTA,"Ibotta, Inc.",software_application,
IDCC,"InterDigital, Inc.",software_application,
IE,Ivanhoe Electric Inc.,software_application,
INTA,"Intapp, Inc.",software_application,
INTU,Intuit Inc.,software_application,
KARO,Karooooo Ltd.,software_application,
KC,Kingsoft Cloud Holdings Limited,software_application,
KDK,"Kodiak AI, Inc. Common Stock",software_application,
LIF,"Life360, Inc.",software_application,
LSPD,Lightspeed Commerce Inc.,software_application,
LYFT,"Lyft, Inc.",software_application,
MANH,"Manhattan Associates, Inc.",software_application,
MITK,"Mitek Systems, Inc.",software_application,
MNDY,monday.com Ltd.,software_application,
MSTR,Strategy Inc,software_application,
NATL,NCR Atleos Corporation,software_application,
NAVN,"Navan, Inc.",software_application,
NCNO,"nCino, Inc.",software_application,
NICE,NICE Ltd.,software_application,
NOW,"ServiceNow, Inc.",software_application,
NP,Neptune Insurance Holdings Inc.,software_application,
OPFI,OppFi Inc.,software_application,
OTEX,Open Text Corporation,software_application,
PAR,PAR Technology Corporation,software_application,
PAYC,"Paycom Software, Inc.",software_application,
PCOR,"Procore Technologies, Inc.",software_application,
PCTY,Paylocity Holding Corporation,software_application,
PD,"PagerDuty, Inc.",software_application,
PDFS,"PDF Solutions, Inc.",software_application,
PEGA,Pegasystems Inc.,software_application,
PLUS,ePlus inc.,software_application,
PRCH,"Porch Group, Inc.",software_application,
PRGS,Progress Software Corporation,software_application,
PTC,PTC Inc.,software_application,
QTWO,"Q2 Holdings, Inc.",software_application,
RDVT,"Red Violet, Inc.",software_application,
RNG,"RingCentral, Inc.",software_application,
RSKD,Riskified Ltd.,software_application,
RUM,Rumble Inc.,software_application,
SAP,SAP SE,software_application,
SEMR,"Semrush Holdings, Inc.",software_application,
SHOP,Shopify Inc.,software_application,
SNOW,Snowflake Inc.,software_application,
SOUN,"SoundHound AI, Inc.",software_application,
SRAD,Sportradar Group AG,software_application,
SSNC,"SS&C Technologies Holdings, Inc.",software_application,
STRK,MicroStrategy Incorporated,software_application,
STUB,"StubHub Holdings, Inc.",software_application,
SWMR,"Swarmer, Inc Common Stock",software_application,
TEAM,Atlassian Corporation,software_application,
TTAN,"ServiceTitan, Inc.",software_application,
TTD,"The Trade Desk, Inc.",software_application,
TYL,"Tyler Technologies, Inc.",software_application,
U,Unity Software Inc.,software_application,
UBER,"Uber Technologies, Inc.",software_application,
UPBD,"Upbound Group, Inc.",software_application,
VERX,"Vertex, Inc.",software_application,
VIA,"Via Transportation, Inc.",software_application,
VTEX,Vtex,software_application,
WBTN,WEBTOON Entertainment Inc. Common stock,software_application,
WDAY,"Workday, Inc.",software_application,
WK,Workiva Inc.,software_application,
WLTH,Wealthfront Corporation,software_application,
YALA,Yalla Group Limited,software_application,
YMM,Full Truck Alliance Co. Ltd.,software_application,
YOU,"Clear Secure, Inc.",software_application,
ZETA,Zeta Global Holdings Corp.,software_application,
ZM,"Zoom Communications, Inc.",software_application,
