ticker,company_name,segment,sub_segment
ACIW,"ACI Worldwide, Inc.",software_infrastructure,
ADBE,Adobe Inc.,software_infrastructure,
AFRM,"Affirm Holdings, Inc.",software_infrastructure,
AKAM,"Akamai Technologies, Inc.",software_infrastructure,
ALTR,Altair Engineering Inc.,software_infrastructure,
APPN,Appian Corporation,software_infrastructure,
ATEN,"A10 Networks, Inc.",software_infrastructure,
AVDX,"AvidXchange Holdings, Inc.",software_infrastructure,
AVPT,"AvePoint, Inc.",software_infrastructure,
BAND,Bandwidth Inc.,software_infrastructure,
BASE,"Couchbase, Inc.",software_infrastructure,
BOX,"Box, Inc.",software_infrastructure,
CCC,CCC Intelligent Solutions Holdings Inc.,software_infrastructure,
CCCS,CCC Intelligent Solutions Holdings Inc.,software_infrastructure,
CFLT,"Confluent, Inc.",software_infrastructure,
CORZ,"Core Scientific, Inc.",software_infrastructure,
CPAY,"Corpay, Inc.",software_infrastructure,
CRWD,"CrowdStrike Holdings, Inc.",software_infrastructure,
CSGS,"CSG Systems International, Inc.",software_infrastructure,
DBX,"Dropbox, Inc.",software_infrastructure,
DOCN,"DigitalOcean Holdings, Inc.",software_infrastructure,
DOX,Amdocs Limited,software_infrastructure,
EEFT,"Euronet Worldwide, Inc.",software_infrastructure,
ESMT,"EngageSmart, Inc.",software_infrastructure,
EVCM,EverCommerce Inc.,software_infrastructure,
EVOP,"EVO Payments, Inc.",software_infrastructure,
EVTC,"EVERTEC, Inc.",software_infrastructure,
FFIV,"F5, Inc.",software_infrastructure,
FIVN,"Five9, Inc.",software_infrastructure,
FLT,"FLEETCOR Technologies, Inc.",software_infrastructure,
FORG,"ForgeRock, Inc.",software_infrastructure,
FOUR,"Shift4 Payments, Inc.",software_infrastructure,
FTNT,"Fortinet, Inc.",software_infrastructure,
GDDY,GoDaddy Inc.,software_infrastructure,
GEN,Gen Digital Inc.,software_infrastructure,
GSKY,"GreenSky, Inc.",software_infrastructure,
HCP,"HashiCorp, Inc.",software_infrastructure,
IIIV,"i3 Verticals, Inc.",software_infrastructure,
INFA,Informatica Inc.,software_infrastructure,
IOT,Samsara Inc.,software_infrastructure,
JCOM,"Ziff Davis, Inc.",software_infrastructure,
KVYO,"Klaviyo, Inc.",software_infrastructure,
LLNW,"Limelight Networks, Inc.",software_infrastructure,
MDB,"MongoDB, Inc.",software_infrastructure,
MQ,"Marqeta, Inc.",software_infrastructure,
MSFT,Microsoft Corporation,software_infrastructure,
NET,"Cloudflare, Inc.",software_infrastructure,
NETE,"Net Element, Inc.",software_infrastructure,
NEWR,"New Relic, Inc.",software_infrastructure,
NLOK,NortonLifeLock Inc.,software_infrastructure,
NTCT,"NetScout Systems, Inc.",software_infrastructure,
NTNX,"Nutanix, Inc.",software_infrastructure,
OKTA,"Okta, Inc.",software_infrastructure,
ORCL,Oracle Corporation,software_infrastructure,
PANW,"Palo Alto Networks, Inc.",software_infrastructure,
PATH,UiPath Inc.,software_infrastructure,
PAYA,Paya Holdings Inc.,software_infrastructure,
PAYO,Payoneer Global Inc.,software_infrastructure,
PLAN,"Anaplan, Inc.",software_infrastructure,
PLTR,Palantir Technologies Inc.,software_infrastructure,
QLYS,"Qualys, Inc.",software_infrastructure,
RAMP,"LiveRamp Holdings, Inc.",software_infrastructure,
RBRK,"Rubrik, Inc.",software_infrastructure,
RELY,"Remitly Global, Inc.",software_infrastructure,
S,"SentinelOne, Inc.",software_infrastructure,
SAIL,"SailPoint, Inc.",software_infrastructure,
SCWX,SecureWorks Corp.,software_infrastructure,
SNPS,"Synopsys, Inc.",software_infrastructure,
SPLK,Splunk Inc.,software_infrastructure,
SPSC,"SPS Commerce, Inc.",software_infrastructure,
SQ,"Block, Inc.",software_infrastructure,
SQSP,"Squarespace, Inc.",software_infrastructure,
STER,Sterling Check Corp.,software_infrastructure,
SUMO,"Sumo Logic, Inc.",software_infrastructure,
SWI,SolarWinds Corporation,software_infrastructure,
TDC,Teradata Corporation,software_infrastructure,
TENB,"Tenable Holdings, Inc.",software_infrastructure,
TOST,"Toast, Inc.",software_infrastructure,
VMW,"VMware, Inc.",software_infrastructure,
VRNS,"Varonis Systems, Inc.",software_infrastructure,
VRNT,Verint Systems Inc.,software_infrastructure,
VRSN,"VeriSign, Inc.",software_infrastructure,
WEX,WEX Inc.,software_infrastructure,
XYZ,"Block, Inc.",software_infrastructure,
ZS,"Zscaler, Inc.",software_infrastructure,
ZUO,"Zuora, Inc.",software_infrastructure,
