ticker,company_name,segment,sub_segment
ASTI,"Ascent Solar Technologies, Inc. Common Stock",solar,
BEEM,Beam Global,solar,
CSIQ,Canadian Solar Inc.,solar,
ENPH,"Enphase Energy, Inc.",solar,
FSLR,"First Solar, Inc.",solar,
FTCI,"FTC Solar, Inc.",solar,
JKS,"JinkoSolar Holding Co., Ltd.",solar,
MAXN,"Maxeon Solar Technologies, Ltd.",solar,
PN,Skycorp Solar Group Limited,solar,
SEDG,"SolarEdge Technologies, Inc.",solar,
SHLS,"Shoals Technologies Group, Inc.",solar,
SPWR,SunPower Inc.,solar,
SPWRW,SunPower Corporation,solar,
TYGO,"Tigo Energy, Inc.",solar,
