ticker,company_name,segment,sub_segment
ABM,ABM Industries Incorporated,specialty_business_services,
ANDG,Andersen,specialty_business_services,
ARMK,Aramark,specialty_business_services,
BIPI,BIP Bermuda Holdings I Limited,specialty_business_services,
BV,"BrightView Holdings, Inc.",specialty_business_services,
CASS,"Cass Information Systems, Inc.",specialty_business_services,
CBZ,"CBIZ, Inc.",specialty_business_services,
CPRT,"Copart, Inc.",specialty_business_services,
CTAS,Cintas Corporation,specialty_business_services,
FA,First Advantage Corporation,specialty_business_services,
GPN,Global Payments Inc.,specialty_business_services,
KODK,Eastman Kodak Company,specialty_business_services,
LZ,"LegalZoom.com, Inc.",specialty_business_services,
MMS,"Maximus, Inc.",specialty_business_services,
PRSU,"Pursuit Attractions and Hospitality, Inc.",specialty_business_services,
RBA,"RB Global, Inc.",specialty_business_services,
RHLD,"Resolute Holdings Management, Inc.",specialty_business_services,
RTO,Rentokil Initial plc,specialty_business_services,
SPIR,"Spire Global, Inc.",specialty_business_services,
TH,Target Hospitality Corp.,specialty_business_services,
TIC,"TIC Solutions, Inc.",specialty_business_services,
TRI,Thomson Reuters Corporation,specialty_business_services,
ULS,UL Solutions Inc.,specialty_business_services,
UNF,UniFirst Corporation,specialty_business_services,
