ticker,company_name,segment,sub_segment
AAP,"Advance Auto Parts, Inc.",specialty_retail,
AMZN,"Amazon.com, Inc.",specialty_retail,
ARKO,Arko Corp.,specialty_retail,
ASO,"Academy Sports and Outdoors, Inc.",specialty_retail,
BABA,Alibaba Group Holding Limited,specialty_retail,
BBWI,"Bath & Body Works, Inc.",specialty_retail,
BBY,"Best Buy Co., Inc.",specialty_retail,
BOBS,"Bob's Discount Furniture, Inc.",specialty_retail,
BWMX,"Betterware de México, S.A.P.I. de C.V.",specialty_retail,
CART,Instacart (Maplebear Inc.),specialty_retail,
CASY,"Casey's General Stores, Inc.",specialty_retail,
CHWY,"Chewy, Inc.",specialty_retail,
CPNG,"Coupang, Inc.",specialty_retail,
DKS,"DICK'S Sporting Goods, Inc.",specialty_retail,
EBAY,eBay Inc.,specialty_retail,
ETSY,"Etsy, Inc.",specialty_retail,
EVGO,"EVgo, Inc.",specialty_retail,
EYE,"National Vision Holdings, Inc.",specialty_retail,
GLBE,Global-e Online Ltd.,specialty_retail,
GME,GameStop Corp.,specialty_retail,
GPC,Genuine Parts Company,specialty_retail,
HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,specialty_retail,
HZO,"MarineMax, Inc.",specialty_retail,
JD,"JD.com, Inc.",specialty_retail,
LQDT,"Liquidity Services, Inc.",specialty_retail,
MELI,"MercadoLibre, Inc.",specialty_retail,
MNSO,MINISO Group Holding Limited,specialty_retail,
MUSA,Murphy USA Inc.,specialty_retail,
NEGG,"Newegg Commerce, Inc.",specialty_retail,
OLPX,"Olaplex Holdings, Inc.",specialty_retail,
PDD,PDD Holdings Inc.,specialty_retail,
RERE,ATRenew Inc.,specialty_retail,
RH,Rh,specialty_retail,
RVLV,"Revolve Group, Inc.",specialty_retail,
SBH,"Sally Beauty Holdings, Inc.",specialty_retail,
SE,Sea Limited,specialty_retail,
SVV,"Savers Value Village, Inc.",specialty_retail,
TSCO,Tractor Supply Company,specialty_retail,
ULTA,"Ulta Beauty, Inc.",specialty_retail,
VIPS,Vipshop Holdings Limited,specialty_retail,
W,Wayfair Inc.,specialty_retail,
WOOF,"Petco Health and Wellness Company, Inc.",specialty_retail,
WSM,"Williams-Sonoma, Inc.",specialty_retail,
