ticker,company_name,segment,sub_segment
ADP,"Automatic Data Processing, Inc.",staffing_and_employment_services,
BBSI,"Barrett Business Services, Inc.",staffing_and_employment_services,
BZ,Kanzhun Limited,staffing_and_employment_services,
KFRC,Kforce Inc.,staffing_and_employment_services,
KFY,Korn Ferry,staffing_and_employment_services,
MAN,ManpowerGroup Inc.,staffing_and_employment_services,
NSP,"Insperity, Inc.",staffing_and_employment_services,
PAYX,"Paychex, Inc.",staffing_and_employment_services,
RHI,Robert Half International Inc.,staffing_and_employment_services,
TNET,"TriNet Group, Inc.",staffing_and_employment_services,
UPWK,Upwork Inc.,staffing_and_employment_services,
