ticker,company_name,segment,sub_segment
ACNT,Ascent Industries Co.,steel,
ASTL,Algoma Steel Group Inc.,steel,
ASTLW,Algoma Steel Group Inc.,steel,
CMC,Commercial Metals Company,steel,
FRD,"Friedman Industries, Incorporated",steel,
GGB,Gerdau S.A.,steel,
HLP,Hongli Group Inc.,steel,
HUDI,"Huadi International Group Co., Ltd.",steel,
INHD,Inno Holdings Inc.,steel,
LUD,Luda Technology Group Limited,steel,
MSB,Mesabi Trust,steel,
MT,ArcelorMittal S.A.,steel,
MTUS,Metallus Inc.,steel,
NUE,Nucor Corporation,steel,
PKX,POSCO Holdings Inc.,steel,
RS,Reliance Steel & Aluminum Co.,steel,
SID,Companhia Siderúrgica Nacional,steel,
SIM,"Grupo Simec, S.A.B. de C.V.",steel,
STLD,"Steel Dynamics, Inc.",steel,
TX,Ternium S.A.,steel,
WS,"Worthington Steel, Inc.",steel,
ZKIN,"ZK International Group Co., Ltd.",steel,
