ticker,company_name,segment,sub_segment
CSCO,"Cisco Systems, Inc.",telecommunications,
TMUS,"T-Mobile US, Inc.",telecommunications,
CCZ,Comcast Holdings ZONES,telecommunications,
VZ,Verizon Communications Inc.,telecommunications,
T,AT&T Inc.,telecommunications,
ANET,"Arista Networks, Inc.",telecommunications,
TBB,AT&T Inc. 5.350% Global Notes due 2066,telecommunications,
CMCSA,Comcast Corporation,telecommunications,
AMX,"America Movil, S.A.B. de C.V.",telecommunications,
LITE,Lumentum Holdings Inc.,telecommunications,
VIV,Telefonica Brasil S.A.,telecommunications,
VOD,Vodafone Group Plc,telecommunications,
CHT,"Chunghwa Telecom Co., Ltd.",telecommunications,
CHTR,"Charter Communications, Inc.",telecommunications,
BCE,"BCE, Inc.",telecommunications,
RCI,"Rogers Communication, Inc.",telecommunications,
TU,Telus Corporation,telecommunications,
TLK,"PT Telekomunikasi Indonesia, Tbk",telecommunications,
FFIV,"F5, Inc.",telecommunications,
ROKU,"Roku, Inc.",telecommunications,
TIGO,Millicom International Cellular S.A.,telecommunications,
TIMB,TIM S.A.,telecommunications,
SKM,"SK Telecom Co., Ltd.",telecommunications,
KT,KT Corporation,telecommunications,
ESE,ESCO Technologies Inc.,telecommunications,
LBRDK,Liberty Broadband Corporation,telecommunications,
LBRDA,Liberty Broadband Corporation,telecommunications,
LUMN,"Lumen Technologies, Inc.",telecommunications,
TKC,Turkcell Iletisim Hizmetleri AS,telecommunications,
TEO,Telecom Argentina SA,telecommunications,
TDS,"Telephone and Data Systems, Inc. Common Shares",telecommunications,
PHI,PLDT Inc. Sponsored ADR,telecommunications,
LBTYB,Liberty Global Ltd.,telecommunications,
LBTYA,Liberty Global Ltd.,telecommunications,
LBTYK,Liberty Global Ltd.,telecommunications,
AD,"Array Digital Infrastructure, Inc. Common Shares",telecommunications,
VEON,VEON Ltd. ADS,telecommunications,
LBRDP,Liberty Broadband Corporation Series A Cumulative Redeemable Preferred Stock,telecommunications,
IRDM,Iridium Communications Inc,telecommunications,
IHS,IHS Holding Limited,telecommunications,
KYIV,Kyivstar Group Ltd. Common Shares,telecommunications,
EXTR,"Extreme Networks, Inc.",telecommunications,
DGII,Digi International Inc.,telecommunications,
UZD,"Array Digital Infrastructure, Inc. 6.250% Senior Notes due 2069",telecommunications,
LILAK,Liberty Latin America Ltd.,telecommunications,
LILA,Liberty Latin America Ltd.,telecommunications,
ATEN,"A10 Networks, Inc.",telecommunications,
ZD,"Ziff Davis, Inc.",telecommunications,
UZF,"Array Digital Infrastructure, Inc. 5.500% Senior Notes due 2070",telecommunications,
UZE,"Array Digital Infrastructure, Inc. 5.500% Senior Notes due 2070",telecommunications,
NSSC,"NAPCO Security Technologies, Inc.",telecommunications,
GLIBK,"GCI Liberty, Inc. Series C GCI Group",telecommunications,
GLIBA,"GCI Liberty, Inc. Series A GCI Group",telecommunications,
IDT,IDT Corporation,telecommunications,
SHEN,Shenandoah Telecommunications Co,telecommunications,
KYIVW,Kyivstar Group Ltd. Warrant,telecommunications,
MATW,Matthews International Corporation,telecommunications,
ATEX,Anterix Inc.,telecommunications,
OPTU,"Optimum Communications, Inc.",telecommunications,
CABO,"Cable One, Inc.",telecommunications,
ATNI,"ATN International, Inc.",telecommunications,
AIOT,"PowerFleet, Inc.",telecommunications,
AMCX,AMC Networks Inc.,telecommunications,
TTGT,"TechTarget, Inc.",telecommunications,
ALLT,Allot Ltd.,telecommunications,
LTRX,"Lantronix, Inc.",telecommunications,
SPOK,"Spok Holdings, Inc.",telecommunications,
TBCH,Turtle Beach Corporation,telecommunications,
CXDO,"Crexendo, Inc.",telecommunications,
INSG,Inseego Corp.,telecommunications,
SIDU,"Sidus Space, Inc.",telecommunications,
HUHU,HUHUTECH International Group Inc.,telecommunications,
KORE,"KORE Group Holdings, Inc.",telecommunications,
SILC,Silicom Ltd,telecommunications,
REKR,"Rekor Systems, Inc.",telecommunications,
SNT,Senstar Technologies Corporation Common Shares,telecommunications,
AMPG,"Amplitech Group, Inc.",telecommunications,
KSCP,"Knightscope, Inc.",telecommunications,
BWEN,"Broadwind, Inc.",telecommunications,
BOSC,B.O.S. Better Online Solutions,telecommunications,
FOXX,Foxx Development Holdings Inc.,telecommunications,
