ticker,company_name,segment,sub_segment
ARCB,ArcBest Corporation,trucking,
CVLG,"Covenant Logistics Group, Inc.",trucking,
ETS,Elite Express Holding Inc.,trucking,
HTLD,"Heartland Express, Inc.",trucking,
HXHX,Haoxin Holdings Limited Class A Ordinary Shares,trucking,
KNX,Knight-Swift Transportation Holdings Inc.,trucking,
MRTN,"Marten Transport, Ltd.",trucking,
ODFL,"Old Dominion Freight Line, Inc.",trucking,
PAMT,Pamt Corp.,trucking,
SAIA,"Saia, Inc.",trucking,
SLGB,Smart Logistics Global Limited Ordinary Shares,trucking,
SNDR,"Schneider National, Inc.",trucking,
TFII,TFI International Inc.,trucking,
TOPP,Toppoint Holdings Inc.,trucking,
ULH,"Universal Logistics Holdings, Inc.",trucking,
WERN,"Werner Enterprises, Inc.",trucking,
